,City ID,City,Country,Longitude,Latitude,Temperature,Humidity,Cloud,Wind Speed
0,3877348,Panguipulli,CL,-72.3333,-39.6333,55.11,99,100,2.17
1,3833367,Ushuaia,AR,-68.3,-54.8,37.06,87,90,24.16
2,1688781,City of San Pedro,PH,121.0167,14.35,79.39,74,75,2.3
3,3652764,Puerto Ayora,EC,-90.3518,-0.7393,75.16,79,92,9.95
4,3430863,Mar del Plata,AR,-57.5575,-38.0023,62.89,68,40,5.01
5,2377457,Nouadhibou,MR,-17.0347,20.931,76.98,57,0,14.97
6,3395981,Maceió,BR,-35.7353,-9.6658,90.84,62,40,16.11
7,1282256,Hithadhoo,MV,73.0833,-0.6,82.35,74,100,11.23
8,2126199,Cherskiy,RU,161.3,68.75,-6.43,100,100,2.37
9,5546220,Saint George,US,-113.5841,37.1041,61.5,41,1,4.61
10,2290849,Bouna,CI,-3.0,9.2667,84.22,65,100,3.85
11,4032243,Vaini,TO,-175.2,-21.2,69.96,88,75,9.22
12,1819729,Hong Kong,HK,114.1577,22.2855,68.72,77,77,4.0
13,2063036,Port Lincoln,AU,135.8667,-34.7333,53.65,78,5,10.58
14,5106841,Albany,US,-73.9662,42.6001,49.48,61,58,1.01
15,1264976,Leh,IN,77.5833,34.1667,32.4,86,100,2.84
16,3372964,Lagoa,PT,-27.9833,39.05,66.97,73,6,14.58
17,1649150,Bengkulu,ID,102.2655,-3.8004,75.97,91,64,4.36
18,6201424,Mataura,NZ,168.8643,-46.1927,49.78,92,100,0.81
19,2112309,Katsuura,JP,140.3,35.1333,56.46,59,25,10.29
20,2063056,Port Augusta,AU,137.7667,-32.5,45.72,71,1,10.67
21,2360073,Houndé,BF,-3.5167,11.5,87.26,46,79,6.96
22,3703946,Narganá,PA,-78.5906,9.4428,83.77,72,67,2.28
23,5848280,Kapaa,US,-159.319,22.0752,74.52,84,20,14.97
24,3347353,Menongue,AO,17.691,-14.6585,77.61,37,24,2.8
25,2208248,Kaitangata,NZ,169.8464,-46.2817,49.91,91,100,2.57
26,3421719,Narsaq,GL,-46.05,60.9167,37.62,79,92,3.04
27,3421765,Nanortalik,GL,-45.2371,60.1432,36.77,72,25,6.31
28,1501377,Kungurtug,RU,97.5228,50.5994,29.39,64,81,1.54
29,2018735,Nyurba,RU,118.3319,63.2842,36.7,86,100,10.76
30,2234663,Batouri,CM,14.3667,4.4333,71.42,96,65,2.19
31,3576994,Cockburn Town,TC,-71.1419,21.4612,83.28,66,33,18.07
32,4030556,Rikitea,PF,-134.9692,-23.1203,74.5,82,67,19.71
33,964432,Port Alfred,ZA,26.891,-33.5906,62.01,66,32,31.85
34,3355672,Lüderitz,NA,15.1594,-26.6481,63.05,66,28,19.3
35,5861897,Fairbanks,US,-147.7164,64.8378,24.55,89,1,0.0
36,2075265,Busselton,AU,115.3333,-33.65,52.05,84,11,7.36
37,5866583,Saint Paul Harbor,US,-152.4072,57.79,42.31,81,90,6.91
38,1795632,Shenjiamen,CN,122.298,29.9576,65.14,59,100,9.33
39,2037485,Erenhot,CN,111.9767,43.6475,44.15,35,20,6.33
40,5880054,Barrow,US,-156.7887,71.2906,30.22,86,90,12.66
41,3466165,Cidreira,BR,-50.2056,-30.1811,73.74,68,69,12.03
42,2155415,New Norfolk,AU,147.0587,-42.7826,49.17,82,100,5.99
43,4020109,Atuona,PF,-139.0333,-9.8,77.99,77,18,18.19
44,3874787,Punta Arenas,CL,-70.9167,-53.15,33.91,93,90,37.98
45,1734651,Gua Musang,MY,101.9644,4.8823,73.58,99,88,0.76
46,3146487,Raudeberg,NO,5.1352,61.9875,44.87,72,100,5.01
47,6185377,Yellowknife,CA,-114.3525,62.456,40.35,84,75,17.27
48,3366880,Hermanus,ZA,19.2345,-34.4187,57.79,69,68,9.44
49,4034551,Faanui,PF,-151.75,-16.4833,77.14,75,87,3.24
50,3792394,Mapiripán,CO,-72.1256,2.8892,84.42,77,28,7.92
51,1024312,Mocuba,MZ,36.9856,-16.8392,81.03,55,27,9.71
52,3420846,Qaqortoq,GL,-46.0333,60.7167,37.9,73,68,7.11
53,2439155,Tanout,NE,8.8879,14.9709,93.38,12,13,13.27
54,1735106,George Town,MY,100.3354,5.4112,80.02,87,40,6.91
55,1490256,Talnakh,RU,88.3972,69.4865,22.26,96,100,7.09
56,2163355,Hobart,AU,147.3294,-42.8794,50.27,92,90,1.99
57,934322,Mahébourg,MU,57.7,-20.4081,75.49,78,75,12.66
58,2577164,Orodara,BF,-4.9342,10.9492,88.18,58,80,2.53
59,2092164,Lorengau,PG,147.2712,-2.0226,80.28,81,97,8.39
60,3870243,Taltal,CL,-70.4833,-25.4,61.12,69,5,6.73
61,1507390,Dikson,RU,80.5464,73.5069,10.2,87,100,12.86
62,5122534,Jamestown,US,-79.2353,42.097,47.61,82,90,3.0
63,935215,Saint-Philippe,RE,55.7679,-21.3585,75.25,81,79,11.99
64,3369157,Cape Town,ZA,18.4232,-33.9258,63.27,55,75,5.01
65,2027968,Aldan,RU,125.3894,58.6031,27.63,87,98,7.49
66,6089245,Norman Wells,CA,-126.8329,65.282,33.84,86,20,5.75
67,3408368,Acaraú,BR,-40.12,-2.8856,88.75,55,79,17.47
68,3372783,Ponta Delgada,PT,-25.6667,37.7333,72.32,64,20,11.5
69,1529651,Altay,CN,88.1167,47.8667,27.32,65,50,5.93
70,4726521,San Patricio,US,-97.5169,28.017,79.48,58,98,11.34
71,2071860,Esperance,AU,121.9,-33.8667,51.64,70,1,17.9
72,1634614,Nabire,ID,135.4833,-3.3667,74.91,95,92,3.22
73,150006,Shinyanga,TZ,33.4333,-3.6667,83.41,38,81,5.19
74,2189343,Kaeo,NZ,173.7833,-35.1,62.33,98,100,5.14
75,6111862,Port Hardy,CA,-127.4199,50.6996,44.78,100,75,4.61
76,1637001,Luwuk,ID,122.7875,-0.9516,76.91,76,97,3.53
77,1254046,Tura,IN,90.2201,25.5198,66.67,88,0,3.04
78,609906,Fort-Shevchenko,KZ,50.263,44.5086,57.31,59,14,9.6
79,5855927,Hilo,US,-155.09,19.7297,71.56,96,90,3.44
80,5836068,Rawlins,US,-107.2387,41.7911,53.42,33,1,12.66
81,3382160,Cayenne,GF,-52.3333,4.9333,86.09,77,75,8.01
82,2206939,Bluff,NZ,168.3333,-46.6,52.7,86,100,3.31
83,3424607,Tasiilaq,GL,-37.6368,65.6145,33.96,87,100,5.12
84,4031637,Lavrentiya,RU,-171.0,65.5833,24.03,87,100,10.0
85,1015776,Bredasdorp,ZA,20.0403,-34.5322,58.32,77,86,12.66
86,6067747,Matagami,CA,-77.6328,49.7502,39.31,70,75,12.66
87,1045114,Inhambane,MZ,35.3833,-23.865,76.98,83,20,12.66
88,3471451,Arraial do Cabo,BR,-42.0278,-22.9661,76.86,73,0,19.57
89,2110227,Butaritari,KI,172.7902,3.0707,81.3,71,76,8.41
90,2751792,Leeuwarden,NL,5.8086,53.2014,50.79,88,90,6.91
91,4462716,Cumberland,US,-78.8664,35.0502,70.75,48,1,10.36
92,1106677,Bambous Virieux,MU,57.7575,-20.3428,75.45,78,75,12.66
93,2654970,Brae,GB,-1.353,60.3964,49.91,91,100,24.81
94,2909761,Haselünne,DE,7.4833,52.6667,49.17,87,92,2.3
95,2022572,Khatanga,RU,102.5,71.9667,11.7,92,100,17.16
96,3831208,Qaanaaq,GL,-69.3632,77.484,-1.57,58,0,7.85
97,5924351,Clyde River,CA,-68.5914,70.4692,23.76,80,96,15.37
98,2015306,Tiksi,RU,128.8694,71.6872,-2.24,100,97,4.27
99,3386177,Trairi,BR,-39.2689,-3.2778,87.6,59,43,13.24
100,2144764,Wangaratta,AU,146.3333,-36.3667,47.7,71,0,12.66
101,2127060,Arman',RU,150.1667,59.7,21.06,72,98,9.44
102,3402648,Carutapera,BR,-46.02,-1.195,86.32,64,96,7.14
103,4146934,Bayshore Gardens,US,-82.5904,27.4253,83.14,65,1,6.91
104,1106643,Quatre Cocos,MU,57.7625,-20.2078,75.09,79,17,10.33
105,546105,Nikolskoye,RU,30.7861,59.7035,37.26,91,100,9.04
106,2152659,Port Macquarie,AU,152.9167,-31.4333,65.89,96,21,3.15
107,3443061,Chui,UY,-53.4616,-33.6971,62.8,68,100,1.83
108,3430545,Morón,AR,-58.6198,-34.6534,67.44,65,91,4.0
109,3445026,Vila Velha,BR,-40.2925,-20.3297,78.75,69,40,14.97
110,2016307,Solnechnyy,RU,136.6319,50.7214,32.99,85,1,4.07
111,495983,Shalakusha,RU,40.2539,62.2247,31.62,89,99,7.25
112,3460064,Jatai,BR,-51.7144,-17.8814,93.47,33,32,14.88
113,3385504,Varjota,BR,-40.4767,-4.1944,98.33,28,92,8.5
114,5563839,Fortuna,US,-124.1573,40.5982,54.12,88,75,11.99
115,3451138,Rio Grande,BR,-52.0986,-32.035,66.94,91,100,8.72
116,6324729,Halifax,CA,-63.5724,44.6453,63.12,90,90,3.0
117,3843123,Neuquén,AR,-68.0591,-38.9516,66.09,26,0,16.11
118,575521,Bogorodskoye,RU,37.8833,56.55,37.54,83,85,8.66
119,3698359,Chicama,PE,-79.1469,-7.8447,61.34,62,58,10.36
120,4513583,Hamilton,US,-84.5333,39.1834,56.91,73,40,1.01
121,3115824,Muros,ES,-9.0603,42.7762,61.03,76,98,3.53
122,3577154,Oranjestad,AW,-70.027,12.524,89.55,62,20,24.16
123,2070998,Geraldton,AU,114.6,-28.7667,59.41,88,0,4.61
124,4035715,Avarua,CK,-159.775,-21.2078,69.85,64,40,6.91
125,2036892,Hohhot,CN,111.6522,40.8106,37.69,60,0,4.47
126,3374083,Bathsheba,BB,-59.5167,13.2167,88.41,62,40,23.02
127,1489828,Teeli,RU,90.2333,51.0333,29.59,86,21,1.7
128,1255816,Sompeta,IN,84.6,18.9333,76.93,73,27,3.18
129,3832899,Viedma,AR,-62.9967,-40.8135,62.38,30,49,21.81
130,3520989,Puerto Madero,MX,-92.4215,14.7208,86.2,79,40,0.0
131,1490918,Staryy Nadym,RU,72.6842,65.6118,32.85,98,100,10.04
132,3868633,Vallenar,CL,-70.7581,-28.5708,73.78,24,0,9.57
133,2240449,Luanda,AO,13.2343,-8.8368,80.6,74,20,13.8
134,103630,Najrān,SA,44.1277,17.4924,75.85,20,2,5.37
135,2629833,Husavik,IS,-17.3389,66.0449,37.31,98,100,2.17
136,4845585,Westport,US,-73.3579,41.1415,54.73,59,90,1.99
137,1847947,Shingū,JP,135.9833,33.7333,49.57,74,0,7.11
138,6170031,Tuktoyaktuk,CA,-133.0374,69.4541,28.4,93,90,10.36
139,5962442,Goderich,CA,-81.7165,43.7501,48.42,61,100,5.75
140,4034188,Moerai,PF,-151.3333,-22.4333,71.46,64,100,9.8
141,2649715,Falmouth,GB,-5.0711,50.1544,55.4,71,90,12.66
142,355449,Esna,EG,32.554,25.2934,82.42,30,0,10.49
143,3928867,Sayán,PE,-77.1933,-11.1361,78.04,46,40,10.02
144,2025241,Churapcha,RU,132.4325,62.0025,7.65,99,93,1.72
145,3631412,Ocumare del Tuy,VE,-66.7761,10.1165,86.61,50,63,3.62
146,1122464,Taywarah,AF,64.4167,33.35,39.27,21,0,3.27
147,2012956,Yerbogachën,RU,108.0108,61.2767,32.4,79,94,11.39
148,5282297,Bethel,US,-73.414,41.3712,53.26,65,90,5.75
149,2194098,Ahipara,NZ,173.1667,-35.1667,60.21,97,98,1.83
150,5367788,Lompoc,US,-120.4579,34.6391,57.78,89,1,5.75
151,2512186,Puerto del Rosario,ES,-13.8627,28.5004,74.95,57,40,14.97
152,6180550,Whitehorse,CA,-135.0538,60.7161,35.83,74,75,15.99
153,2338660,Yaan,NG,8.5667,7.3833,75.36,83,95,3.36
154,2014624,Udachny,RU,112.4,66.4167,23.79,85,27,17.96
155,2065594,Mount Isa,AU,139.5,-20.7333,73.17,64,87,2.3
156,964420,Port Elizabeth,ZA,25.5701,-33.918,62.89,59,0,31.07
157,286621,Salalah,OM,54.0924,17.0151,78.89,78,0,3.44
158,2123814,Leningradskiy,RU,178.4167,69.3833,8.69,88,100,8.88
159,3440777,Rocha,UY,-54.3333,-34.4833,59.23,80,100,0.76
160,1488903,Turukhansk,RU,87.9833,65.8167,31.8,97,100,13.87
161,2276492,Harper,LR,-7.7169,4.375,79.48,84,100,8.14
162,1506268,Gornopravdinsk,RU,69.9,60.05,42.13,84,90,11.41
163,1651555,Ambarawa,ID,110.3975,-7.2633,74.41,92,95,2.35
164,1516048,Khovd,MN,91.6419,48.0056,37.2,54,86,6.22
165,2453662,Markala,ML,-6.0659,13.7021,92.41,40,72,6.73
166,4351977,College Park,US,-76.9369,38.9807,62.83,69,40,3.44
167,2112802,Hasaki,JP,140.8333,35.7333,41.4,55,0,14.32
168,1735902,Sibu,MY,111.8167,2.3,75.13,100,40,5.01
169,2270385,Camacha,PT,-16.3333,33.0833,69.21,60,20,14.97
170,3204121,Biograd na Moru,HR,15.4519,43.9433,59.7,67,11,8.66
171,3899695,Ancud,CL,-73.8203,-41.8697,54.93,58,15,10.58
172,6165406,Thompson,CA,-97.8558,55.7435,32.16,86,90,0.0
173,2630299,Hofn,IS,-15.2082,64.2539,44.8,95,100,6.85
174,2028164,Deputatsky,RU,139.9,69.3,-8.99,100,89,3.2
175,4034496,Fare,PF,-151.0167,-16.7,75.6,81,100,4.32
176,5364271,Laguna,US,-121.4238,38.421,56.46,88,1,1.99
177,2077895,Alice Springs,AU,133.8833,-23.7,74.75,29,43,12.66
178,2137773,Vao,NC,167.4833,-22.6667,71.51,79,94,15.88
179,5012639,Troy,US,-83.1499,42.6056,48.7,82,75,1.99
180,3137469,Sørland,NO,12.6934,67.667,42.04,60,79,12.8
181,1856392,Muroto-misakicho,JP,134.15,33.2833,60.46,59,0,13.47
182,713743,Yakymivka,UA,35.1536,46.6897,55.06,76,100,3.91
183,3386213,Touros,BR,-35.4608,-5.1989,88.7,55,33,12.64
184,1486321,Yar-Sale,RU,70.8333,66.8333,30.54,92,100,8.84
185,2074865,Carnarvon,AU,113.6333,-24.8667,69.87,68,0,17.27
186,3698304,Chimbote,PE,-78.5783,-9.0853,68.61,72,91,11.03
187,2271968,Aljezur,PT,-8.8033,37.3191,67.28,52,44,3.67
188,2132606,Samarai,PG,150.6667,-10.6167,80.37,83,98,12.28
189,3394372,Morros,BR,-46.3003,-9.4467,85.48,52,88,4.79
190,2396853,Omboué,GA,9.2618,-1.5746,77.47,80,92,7.16
191,1061412,Mananara,MG,49.7667,-16.1667,75.79,95,25,4.0
192,2944079,Brilon,DE,8.5833,51.4,44.53,79,100,1.95
193,1855612,Nara,JP,135.8049,34.6851,49.01,66,0,1.72
194,3006787,La Rochelle,FR,-1.15,46.1667,59.04,47,0,10.36
195,7696234,Nanhai,CN,111.7784,30.1282,53.82,56,5,5.59
196,64814,Bandarbeyla,SO,50.8122,9.4942,78.64,77,8,10.8
197,2729907,Longyearbyen,SJ,15.6401,78.2186,19.24,86,20,4.61
198,3398480,Gurupá,BR,-51.64,-1.405,92.48,45,61,3.0
199,3883457,Lebu,CL,-73.65,-37.6167,53.89,64,98,5.75
200,3860443,Comodoro Rivadavia,AR,-67.5,-45.8667,62.46,16,20,20.71
201,2122090,Pevek,RU,170.3133,69.7008,12.29,94,100,7.11
202,110690,Faya,SA,42.4509,18.3851,70.32,38,7,5.99
203,2135517,Norsup,VU,167.3833,-16.0667,78.22,86,56,7.25
204,2129376,Kushiro,JP,144.3747,42.975,39.69,79,0,4.16
205,3359638,Walvis Bay,NA,14.5053,-22.9575,68.95,52,0,24.16
206,1262651,Mudkhed,IN,77.5167,19.1667,71.11,67,51,6.31
207,1783621,Zunyi,CN,106.9072,27.6867,49.15,79,41,1.92
208,1263622,Mānsa,IN,75.3833,29.9833,73.31,50,19,4.43
209,3404817,Breves,BR,-50.4803,-1.6822,89.4,55,50,4.85
210,526558,Malchevskaya,RU,40.3625,49.0552,51.55,79,100,9.93
211,2028462,Ulaanbaatar,MN,106.8832,47.9077,17.73,67,0,2.24
212,2122574,Ola,RU,151.2833,59.5833,24.98,71,98,11.99
213,107304,Buraidah,SA,43.975,26.326,84.65,14,0,6.6
214,3671450,Inírida,CO,-67.9239,3.8653,87.06,71,53,3.33
215,556268,Ostrovnoy,RU,39.5131,68.0531,29.88,85,100,16.4
216,986717,Kruisfontein,ZA,24.7314,-34.0033,61.88,72,3,19.6
217,3906466,Riberalta,BO,-66.1,-10.9833,93.4,55,40,11.5
218,1488414,Urengoy,RU,78.3667,65.9667,32.31,99,100,7.61
219,3359736,Vredendal,ZA,18.5012,-31.6683,61.52,54,7,14.16
220,2022129,Kichera,RU,110.0997,55.9375,28.67,81,84,2.26
221,5851349,Nānākuli,US,-158.1547,21.3906,75.13,73,1,4.61
222,326036,Yabēlo,ET,38.0833,4.8833,64.29,65,84,11.9
223,477940,Ust-Tsilma,RU,52.1498,65.441,25.7,92,13,6.46
224,172515,Abu Samrah,SY,37.1841,35.3029,71.06,43,0,8.23
225,509826,Petrov Val,RU,45.2096,50.1434,58.5,66,100,12.39
226,1651810,Airai,TL,125.4092,-8.9266,61.74,86,82,1.48
227,2260009,Ewo,CG,14.8206,-0.8725,76.93,78,98,4.05
228,2718393,Magnor,SE,12.1996,59.9511,39.09,73,61,3.2
229,2020591,Magdagachi,RU,125.8,53.45,33.48,83,8,4.72
230,332288,Lalibela,ET,39.0333,12.0333,59.49,46,57,8.97
231,8079926,Labuhan,ID,112.2051,-6.8844,80.51,77,93,9.15
232,636947,Siilinjärvi,FI,27.6667,63.0833,32.02,74,75,8.05
233,2856207,Östringen,DE,8.7122,49.22,50.58,72,53,3.71
234,1503726,Kharp,RU,65.8081,66.8014,28.49,92,100,6.87
235,1006984,East London,ZA,27.9116,-33.0153,64.67,59,53,26.98
236,1538638,Lokomotivnyy,RU,60.5684,53.0118,47.14,78,99,15.28
237,3456642,Mozarlândia,BR,-50.5706,-14.7447,95.0,33,86,7.78
238,1056899,Sambava,MG,50.1667,-14.2667,76.23,90,36,3.22
239,2017155,Saskylakh,RU,114.0833,71.9167,6.89,95,100,15.28
240,3466704,Castro,BR,-50.0119,-24.7911,76.15,44,87,9.73
241,3652758,Puerto Baquerizo Moreno,EC,-89.6,-0.9,74.39,73,40,9.22
242,245785,Abéché,TD,20.8324,13.8292,91.02,20,10,8.68
243,2175403,Blackwater,AU,148.8833,-23.5833,75.45,76,98,3.13
244,1510689,Baykit,RU,96.37,61.67,33.55,86,99,10.11
245,5969025,Haines Junction,CA,-137.5108,60.7522,22.95,93,100,2.3
246,2017215,Sangar,RU,127.4739,63.9242,15.64,93,100,6.64
247,935616,Le Port,RE,55.2919,-20.9373,75.76,94,49,7.47
248,1504019,Kazanskoye,RU,69.235,55.6448,49.15,70,58,17.02
249,2381972,Adrar,MR,-10.0711,20.5022,89.91,13,26,1.25
250,2172880,Byron Bay,AU,153.6167,-28.65,70.43,96,7,13.78
251,155244,Majengo,TZ,38.9833,-5.15,73.06,85,74,5.19
252,3412093,Vestmannaeyjar,IS,-20.2734,63.4427,47.39,87,90,9.22
253,607610,Zhangaözen,KZ,52.8,43.3,55.2,18,0,13.94
254,2180815,Tuatapere,NZ,167.6833,-46.1333,50.97,97,100,0.89
255,599506,Gargždai,LT,21.4033,55.7128,42.58,71,82,14.58
256,5955902,Fort Nelson,CA,-122.7002,58.8053,26.19,93,90,3.44
257,1806840,Huilong,CN,121.655,31.8111,61.97,56,100,5.44
258,3423146,Ilulissat,GL,-51.1,69.2167,19.42,86,90,23.02
259,1513491,Yangi Marg`ilon,UZ,71.7189,40.4272,45.32,45,1,9.22
260,2108502,Honiara,SB,159.95,-9.4333,76.21,83,10,3.98
261,2126123,Chokurdakh,RU,147.9167,70.6333,-4.54,94,100,5.61
262,4031574,Provideniya,RU,-173.3,64.3833,23.07,78,100,8.72
263,2171766,Charlestown,AU,151.6667,-32.95,64.44,94,35,4.0
264,2392087,Porto-Novo,BJ,2.6036,6.4965,76.55,89,96,4.68
265,3372760,Praia da Vitória,PT,-27.0667,38.7333,71.85,73,20,13.29
266,5126209,Mastic Beach,US,-72.8521,40.7668,57.18,61,90,3.0
267,368246,Raja,SS,25.678,8.4596,72.73,88,74,3.53
268,4956335,Yarmouth,US,-70.2286,41.7057,59.07,82,75,17.0
269,2121025,Srednekolymsk,RU,153.6833,67.45,-13.92,99,62,3.8
270,4005297,Guamúchil,MX,-108.1,25.4667,83.75,47,0,4.16
271,4984075,Alpena,US,-83.4327,45.0617,48.72,74,90,3.0
272,2022232,Khrebtovaya,RU,104.2494,56.7032,27.52,93,96,5.3
273,2206890,Masterton,NZ,175.6575,-40.9597,51.87,80,100,2.01
274,3893629,Coquimbo,CL,-71.3436,-29.9533,58.73,72,75,9.22
275,3372707,Ribeira Grande,PT,-28.7,38.5167,73.8,53,20,10.36
276,4944903,Nantucket,US,-70.0995,41.2835,60.91,75,1,11.5
277,4088628,Saraland,US,-88.0706,30.8207,76.95,42,0,2.64
278,1623197,Tual,ID,132.75,-5.6667,83.53,76,79,10.25
279,3382867,Totness,SR,-56.3167,5.8833,80.83,87,78,8.48
280,4853078,Creston,US,-94.3614,41.0586,49.39,57,1,12.66
281,352628,Maţāy,EG,30.7792,28.419,75.94,36,0,12.17
282,609404,Khromtau,KZ,58.4347,50.2503,48.49,84,1,15.46
283,2019488,Namtsy,RU,129.6658,62.7161,14.11,97,97,2.75
284,1259069,Rādhanpur,IN,71.6,23.8333,81.52,63,14,11.97
